Applicant,PermitLocation,locationdesc,operation_time
Anas Goodies Catering,2085 03RD ST,7:15am-7:30am,"{'Wednesday': ('07:00', '08:00'), 'Thursday': ('07:00', '08:00'), 'Friday': ('07:00', '08:00'), 'Monday': ('07:00', '08:00'), 'Tuesday': ('07:00', '08:00')}"
Anas Goodies Catering,2150 CESAR CHAVEZ ST,10:40am-10:45am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
Anas Goodies Catering,2660 NEWHALL ST,7:00am-7:15am,"{'Wednesday': ('07:00', '08:00'), 'Thursday': ('07:00', '08:00'), 'Friday': ('07:00', '08:00'), 'Monday': ('07:00', '08:00'), 'Tuesday': ('07:00', '08:00')}"
Anas Goodies Catering,3000 03RD ST,11:30am-11:35am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Anas Goodies Catering,3150 03RD ST,"9:00am-9:05am, 11:25am-11:30am","{'Wednesday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00'), 'Monday': ('11:00', '12:00')}"
Anas Goodies Catering,3255 03RD ST,11:40am-11:50am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Anas Goodies Catering,3305 03RD ST,Set-up at 429 Amador St: 11:00am-11:05am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Anas Goodies Catering,368 ELM ST,Set-up at 340 Elm St: 10:10am-10:15am,"{'Sunday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Saturday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00')}"
Anas Goodies Catering,380 10TH ST,9:55am-10:00am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
Anas Goodies Catering,500 FRANCISCO ST,12:17pm-12:20pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
Anas Goodies Catering,601 23RD ST,Set-up at 690 24th St: 9:30am-9:35am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
Anas Goodies Catering,601 MARIPOSA ST,"9:40am-9:45am, 12:20pm-12:25pm","{'Wednesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00')}"
Anas Goodies Catering,640 TENNESSEE ST,"9:10am-9:15am, 12:25pm-12:30pm","{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('12:00', '13:00'), 'Monday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00')}"
Anas Goodies Catering,640 TEXAS ST,Set-up at 660 Texas St: 9:20am-9:30am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
Anas Goodies Catering,700 PENNSYLVANIA AVE,"9:50am-9:55am, 12:07pm-12:11pm","{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('12:00', '13:00'), 'Monday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00')}"
Anas Goodies Catering,790 TENNESSEE ST,8:45am-8:50am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
Anas Goodies Catering,815 TENNESSEE ST,8:10am-8:15am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
Anas Goodies Catering,951 INDIANA ST,12:00pm-12:06pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
Anas Goodies Catering,998 INDIANA ST,8:15am-8:20am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
Athena SF Gyro,10 SOUTH VAN NESS AVE,"Cart located approximately 28.5' west of MUNI subway entrance, and 2' from Market St curb.","{'Friday': ('06:00', '18:00'), 'Wednesday': ('06:00', '18:00'), 'Thursday': ('06:00', '18:00')}"
Athena SF Gyro,699 08TH ST,Cart located on 8th Street approximately 8' from curb and 64' from Townsend Street curb (in between 2 trees).,"{'Monday': ('06:00', '18:00'), 'Wednesday': ('06:00', '18:00'), 'Tuesday': ('06:00', '18:00')}"
BH & MT LLC,1265 GROVE ST,9:10am to 9:15am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
BH & MT LLC,1477 GROVE ST,10am to 10:20am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
BH & MT LLC,170 OTIS ST,"6:45am to 8:30am, 11:30am to 3pm","{'Friday': ('06:00', '09:00'), 'Monday': ('06:00', '09:00'), 'Wednesday': ('06:00', '09:00'), 'Tuesday': ('11:00', '15:00'), 'Thursday': ('11:00', '15:00')}"
BH & MT LLC,2145 MARKET ST,10:45am to 11am,"{'Thursday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00')}"
BH & MT LLC,3253 16TH ST,10:25am to 10:30am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
BH & MT LLC,401 23RD ST,"located at 650 24th Street, 11am to 11:05am","{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
BH & MT LLC,949 PRESIDIO AVE,9:25am to 9:50am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
BHUK Burger,11 PHELAN AVE,truck located on the west side of Phelan Ave approximately 150 feet north of Ocean Avenue,"{'Monday': ('07:00', '20:00'), 'Thursday': ('07:00', '20:00'), 'Wednesday': ('07:00', '20:00'), 'Saturday': ('07:00', '20:00'), 'Tuesday': ('07:00', '20:00'), 'Friday': ('07:00', '20:00')}"
"Bay Area Dots, LLC",567 BAY ST,Bay & Taylor intersection. Located against the planter box wall in front of the cable car turn-around.,"{'Sunday': ('06:00', '23:59'), 'Friday': ('06:00', '23:59'), 'Saturday': ('06:00', '23:59'), 'Wednesday': ('06:00', '23:59'), 'Thursday': ('06:00', '23:59'), 'Tuesday': ('06:00', '23:59'), 'Monday': ('06:00', '23:59')}"
"Bay Area Dots, LLC",900 BEACH ST,"Northwest Corner of Hyde & Beach Streets, on Beach.  Approximately 12' West of the Hyde St & Beach St crosswalk. Located against the wall with plant/ bushes.","{'Sunday': ('06:00', '23:59'), 'Friday': ('06:00', '23:59'), 'Saturday': ('06:00', '23:59'), 'Tuesday': ('06:00', '23:59'), 'Wednesday': ('06:00', '23:59'), 'Thursday': ('06:00', '23:59'), 'Monday': ('06:00', '23:59')}"
"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",1301 CESAR CHAVEZ ST,Located on Cesar Chavez near the Indiana St intersection,"{'Wednesday': ('09:00', '17:00'), 'Monday': ('09:00', '17:00'), 'Tuesday': ('09:00', '17:00'), 'Friday': ('09:00', '17:00'), 'Thursday': ('09:00', '17:00')}"
"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",1455 MARKET ST,Truck located on the Mission St frontage in the first parking space NE of the 11th St and Mission Stintersection.,"{'Wednesday': ('07:00', '18:00'), 'Friday': ('07:00', '18:00'), 'Thursday': ('07:00', '18:00'), 'Monday': ('07:00', '18:00'), 'Saturday': ('07:00', '18:00'), 'Tuesday': ('07:00', '18:00')}"
Bob Johnson,1709 REVERE AVE,Truck located at the intersection of 3rd St/Revere St/ Bay View St,"{'Friday': ('10:00', '19:00'), 'Sunday': ('10:00', '19:00'), 'Saturday': ('10:00', '19:00'), 'Tuesday': ('10:00', '19:00'), 'Monday': ('10:00', '19:00'), 'Thursday': ('10:00', '19:00'), 'Wednesday': ('10:00', '19:00')}"
Bob Johnson,Assessors Block 0733/Lot010,NE Corner of Webster & Eddy,"{'Friday': ('10:00', '19:00'), 'Sunday': ('10:00', '19:00'), 'Saturday': ('10:00', '19:00'), 'Tuesday': ('10:00', '19:00'), 'Monday': ('10:00', '19:00'), 'Thursday': ('10:00', '19:00'), 'Wednesday': ('10:00', '19:00')}"
Bonito Poke,400 HOWARD ST,Truck located 100LF East of 1st Street,"{'Monday': ('10:00', '14:00')}"
Bonito Poke,409 ILLINOIS ST,Truck located approximately 200LF south of 16th Street,"{'Saturday': ('10:00', '22:00'), 'Thursday': ('10:00', '22:00'), 'Friday': ('10:00', '22:00')}"
Bonito Poke,505 HOWARD ST,Truck located on 1st Street approximately 20 LF south of Howard St,"{'Wednesday': ('10:00', '14:00'), 'Friday': ('10:00', '14:00'), 'Tuesday': ('10:00', '14:00')}"
Buenafe,901 16TH ST,"Truck located on the west side of Mississippi Street, 100ft south of 16th Street","{'Monday': ('08:00', '17:00'), 'Tuesday': ('08:00', '17:00'), 'Wednesday': ('08:00', '17:00')}"
CARDONA'S FOOD TRUCK,1800 MISSION ST,Truck located on Mission St. approximately 48 feet south of the existing bus stop on the corner of Mission & 14th St.,"{'Thursday': ('08:00', '17:00'), 'Tuesday': ('08:00', '17:00'), 'Wednesday': ('08:00', '17:00')}"
CARDONA'S FOOD TRUCK,1888 MISSION ST,Truck located on Mission St. approximately 40 feet north of the Mission and 15th St. intersection.,"{'Saturday': ('08:00', '17:00'), 'Sunday': ('08:00', '17:00')}"
"Casey's Pizza, LLC",1 POST ST,a truck 60’ west from the SW corner of Post and Montgomery (south side),"{'Saturday': ('12:00', '16:00'), 'Thursday': ('15:00', '20:00'), 'Tuesday': ('15:00', '20:00'), 'Wednesday': ('15:00', '20:00')}"
"Casey's Pizza, LLC",100 SPEAR ST,a truck 12’ south from the SW corner of Mission and Spear (west side),"{'Thursday': ('09:00', '15:00'), 'Tuesday': ('09:00', '15:00')}"
"Casey's Pizza, LLC",231 SANSOME ST,a truck 45’ north from the SW corner of Pine and Sansome (west side),"{'Wednesday': ('10:00', '14:00'), 'Monday': ('10:00', '14:00')}"
"Casey's Pizza, LLC",368 FELL ST,30LF east of NE corner of Octavia & Fell,"{'Friday': ('15:00', '20:00'), 'Saturday': ('16:00', '20:00'), 'Sunday': ('12:00', '20:00')}"
"Casey's Pizza, LLC",654 MISSION ST,a truck 45’ north from the SW corner of Pine and Sansome (west side),"{'Friday': ('11:00', '15:00')}"
"Chairman SF, LLC",34 ELLIS ST,In front of 34 Ellis Street entrance way,"{'Saturday': ('13:00', '16:00'), 'Friday': ('10:00', '15:00'), 'Monday': ('10:00', '15:00'), 'Wednesday': ('10:00', '15:00'), 'Sunday': ('13:00', '16:00')}"
"Chairman SF, LLC",400 CALIFORNIA ST,In front of 400 California Street entrance way,"{'Tuesday': ('10:00', '15:00'), 'Thursday': ('10:00', '15:00')}"
"Chairman SF, LLC",536 MISSION ST,Truck located in meter # 552,"{'Monday': ('10:00', '15:00'), 'Friday': ('10:00', '15:00'), 'Wednesday': ('10:00', '15:00')}"
"Chairman SF, LLC",625 02ND ST,In front of 625 2nd Street entrance way,"{'Friday': ('12:00', '17:00'), 'Monday': ('12:00', '17:00'), 'Tuesday': ('12:00', '17:00'), 'Thursday': ('12:00', '17:00'), 'Wednesday': ('12:00', '17:00')}"
Cochinita,2601 24TH ST,"Truck located on the South side of 24th Street, approximately 25 linear feet from the Utah Street intersection","{'Saturday': ('11:00', '17:00'), 'Tuesday': ('11:00', '17:00'), 'Monday': ('11:00', '17:00')}"
Creme Brulee To Go,801 MARKET ST,Located on south side of Market Street 40 LF west of 4th Street near curb,"{'Saturday': ('11:00', '19:00'), 'Tuesday': ('11:00', '19:00'), 'Monday': ('11:00', '19:00'), 'Friday': ('11:00', '19:00'), 'Wednesday': ('11:00', '19:00'), 'Sunday': ('11:00', '19:00'), 'Thursday': ('11:00', '19:00')}"
Creme Brulee To Go,870 MARKET ST,North side of Market Street between 4th and 5th Streets near the Cable Car turnaround in front of the ped mounts and 7' west of the fire hydrant.,"{'Monday': ('08:00', '19:00'), 'Saturday': ('11:00', '19:00'), 'Tuesday': ('08:00', '19:00'), 'Wednesday': ('08:00', '19:00'), 'Friday': ('08:00', '19:00'), 'Sunday': ('11:00', '19:00'), 'Thursday': ('08:00', '19:00')}"
Curry Up Now,370 DRUMM ST,Set-up on the North side of Washington St in the yellow zone,"{'Monday': ('14:00', '15:00'), 'Thursday': ('14:00', '15:00'), 'Saturday': ('14:00', '15:00'), 'Tuesday': ('14:00', '15:00'), 'Friday': ('14:00', '15:00'), 'Wednesday': ('14:00', '15:00')}"
D & T Catering,1150 FRANCISCO ST,12:10pm-12:50pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
D & T Catering,2201 VALLEJO ST,10:20am-10:30am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
D & T Catering,2521 SCOTT ST,Set-up at 2525 Scott St: 9:45am-9:50am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
D & T Catering,2590 GREEN ST,8:42am-8:48am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
D & T Catering,2616 UNION ST,8:30am-8:35am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
D & T Catering,2701 GREEN ST,10am-10:05am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
D & T Catering,2710 BROADWAY,9:50am-9:55am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
D & T Catering,2750 SCOTT ST,Set-up at 2740 Scott St: 8:37am-8:40am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
D & T Catering,2840 BROADWAY,Set-up at 2852 Green St: 10:10am-10:15am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
D & T Catering,2854 GREEN ST,8:50am-8:55am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
D & T Catering,2940 PACIFIC AVE,9:25am-9:35am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
D & T Catering,2960 BROADWAY,9am-9:10am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
D & T Catering,2970 BROADWAY,10:20am-10:25am,"{'Thursday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00')}"
D & T Catering,3100 PACIFIC AVE,10am-10:10am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
D & T Catering,3550 WASHINGTON ST,9:35am-9:40am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
D & T Catering,3756 JACKSON ST,9:15am-9:25am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
D & T Catering,3839 WASHINGTON ST,10:30am-10:40am,"{'Thursday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00')}"
DO UC US Mobile Catering,1420 04TH ST,Set-up at 1420 4th St: 9:10am-9:15am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
DO UC US Mobile Catering,1501 03RD ST,"Located at 1483 & 1501 3rd St: 8:30am-8:35am, 8:40am-8:50am","{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
DO UC US Mobile Catering,2590 MARIN ST,8:00am-4:00pm,"{'Saturday': ('08:00', '16:00')}"
DO UC US Mobile Catering,400 PARNASSUS AVE,Set-up at 500 Parnassus Ave: 9:30am-4:00pm,"{'Monday': ('09:00', '16:00'), 'Wednesday': ('09:00', '16:00'), 'Friday': ('09:00', '16:00'), 'Thursday': ('09:00', '16:00'), 'Tuesday': ('09:00', '16:00')}"
El Calamar Perubian Food Truck,85 02ND ST,Mobile Food Truck Located approximately 40 ft from the intersection of 2nd St and Mission St,"{'Tuesday': ('10:00', '15:00'), 'Wednesday': ('10:00', '15:00'), 'Thursday': ('10:00', '15:00')}"
El Gallo Jiro,3055 23RD ST,10am to 6pm Mon thru Friday,"{'Thursday': ('10:00', '18:00'), 'Friday': ('10:00', '18:00'), 'Tuesday': ('10:00', '18:00'), 'Saturday': ('10:00', '18:00'), 'Monday': ('10:00', '18:00'), 'Wednesday': ('10:00', '18:00')}"
El Tonayanse #4 / #36,1717 HARRISON ST,Just North of Best Buy's curb cut,"{'Friday': ('10:00', '19:00'), 'Sunday': ('10:00', '19:00'), 'Saturday': ('10:00', '19:00'), 'Tuesday': ('10:00', '19:00'), 'Monday': ('10:00', '19:00'), 'Thursday': ('10:00', '19:00'), 'Wednesday': ('10:00', '19:00')}"
El Tonayense #60,2355 FOLSOM ST,"Located on the West side of the Harrison St frontage , just South of the Mistral St intersection","{'Thursday': ('16:00', '22:00'), 'Saturday': ('16:00', '22:00'), 'Sunday': ('16:00', '22:00'), 'Monday': ('16:00', '22:00'), 'Tuesday': ('16:00', '22:00'), 'Wednesday': ('16:00', '22:00'), 'Friday': ('16:00', '22:00')}"
El Tonayense #60,401 TREAT AVE,Located on the West side of the Harrison St frontage at the corner of 17th St,"{'Thursday': ('10:00', '16:00'), 'Saturday': ('10:00', '16:00'), 'Monday': ('10:00', '16:00'), 'Friday': ('10:00', '16:00'), 'Sunday': ('10:00', '16:00'), 'Wednesday': ('10:00', '16:00'), 'Tuesday': ('10:00', '16:00')}"
Eli's Hot Dogs,101 BAY SHORE BLVD,9:30am-4:30am,"{'Wednesday': ('09:00', '17:00'), 'Monday': ('09:00', '17:00'), 'Tuesday': ('09:00', '17:00'), 'Friday': ('09:00', '17:00'), 'Thursday': ('09:00', '17:00'), 'Saturday': ('09:00', '17:00')}"
Eva's Catering,1100 ORTEGA ST,8:00am-9:30am,"{'Friday': ('08:00', '10:00'), 'Tuesday': ('08:00', '10:00'), 'Wednesday': ('08:00', '10:00'), 'Thursday': ('08:00', '10:00'), 'Monday': ('08:00', '10:00')}"
Eva's Catering,1199 ORTEGA ST,8:00am-9:30am,"{'Saturday': ('08:00', '10:00')}"
